CenterRa CenterDec StarDensity
109.9999 +00.00000 5
109.9999 +05.00000 9
109.9999 +10.00000 8
109.9999 +15.00000 6
109.9999 +20.00000 7
109.9999 +25.00000 10
109.9999 +30.00000 8
109.9999 +35.00000 7
109.9999 +40.00000 3
109.9999 +45.00000 12
109.9999 +50.00000 11
109.9999 +55.00000 9
109.9999 +60.00000 8
109.9999 +65.00000 5
109.9999 +70.00000 11
109.9999 +75.00000 13
109.9999 +80.00000 16
109.9999 +85.00000 52
114.9999 -85.00000 32
114.9999 -80.00000 36
114.9999 -75.00000 17
114.9999 -70.00000 21
114.9999 -65.00000 20
114.9999 -60.00000 12
114.9999 -55.00000 16
114.9999 -50.00000 22
114.9999 -45.00000 19
114.9999 -40.00000 21
114.9999 -35.00000 21
114.9999 -30.00000 13
114.9999 -25.00000 18
114.9999 -20.00000 11
114.9999 -15.00000 9
114.9999 -10.00000 8
114.9999 -05.00000 5
114.9999 +00.00000 4
114.9999 +05.00000 6
114.9999 +10.00000 6
114.9999 +15.00000 5
114.9999 +20.00000 6
114.9999 +25.00000 9
114.9999 +30.00000 11
114.9999 +35.00000 7
114.9999 +40.00000 4
114.9999 +45.00000 7
114.9999 +50.00000 13
114.9999 +55.00000 9
114.9999 +60.00000 9
114.9999 +65.00000 5
114.9999 +70.00000 10
114.9999 +75.00000 11
114.9999 +80.00000 23
114.9999 +85.00000 52
120.0000 -85.00000 46
120.0000 -80.00000 33
120.0000 -75.00000 19
120.0000 -70.00000 23
120.0000 -65.00000 21
120.0000 -60.00000 18
120.0000 -55.00000 15
120.0000 -50.00000 29
120.0000 -45.00000 22
120.0000 -40.00000 23
120.0000 -35.00000 20
120.0000 -30.00000 5
120.0000 -25.00000 7
120.0000 -20.00000 6
120.0000 -15.00000 7
120.0000 -10.00000 5
120.0000 -05.00000 4
120.0000 +00.00000 4
120.0000 +05.00000 4
120.0000 +10.00000 2
120.0000 +15.00000 5
120.0000 +20.00000 5
120.0000 +25.00000 6
120.0000 +30.00000 5
120.0000 +35.00000 4
120.0000 +40.00000 1
120.0000 +45.00000 3
120.0000 +50.00000 7
120.0000 +55.00000 9
120.0000 +60.00000 11
120.0000 +65.00000 13
120.0000 +70.00000 10
120.0000 +75.00000 8
120.0000 +80.00000 23
120.0000 +85.00000 46
124.9999 -85.00000 39
124.9999 -80.00000 36
124.9999 -75.00000 31
124.9999 -70.00000 28
124.9999 -65.00000 20
124.9999 -60.00000 26
124.9999 -55.00000 28
124.9999 -50.00000 31
124.9999 -45.00000 27
124.9999 -40.00000 15
124.9999 -35.00000 11
124.9999 -30.00000 5
124.9999 -25.00000 5
124.9999 -20.00000 6
124.9999 -15.00000 5
124.9999 -10.00000 4
124.9999 -05.00000 4
124.9999 +00.00000 4
124.9999 +05.00000 4
124.9999 +10.00000 4
124.9999 +15.00000 5
124.9999 +20.00000 5
124.9999 +25.00000 6
124.9999 +30.00000 3
124.9999 +35.00000 1
124.9999 +40.00000 2
124.9999 +45.00000 1
124.9999 +50.00000 4
124.9999 +55.00000 10
124.9999 +60.00000 13
124.9999 +65.00000 14
124.9999 +70.00000 8
124.9999 +75.00000 8
124.9999 +80.00000 19
124.9999 +85.00000 39
129.9999 -85.00000 39
129.9999 -80.00000 36
129.9999 -75.00000 39
129.9999 -70.00000 31
129.9999 -65.00000 23
129.9999 -60.00000 24
129.9999 -55.00000 26
129.9999 -50.00000 31
129.9999 -45.00000 21
129.9999 -40.00000 9
129.9999 -35.00000 8
129.9999 -30.00000 7
129.9999 -25.00000 7
129.9999 -20.00000 4
129.9999 -15.00000 4
129.9999 -10.00000 4
129.9999 -05.00000 6
129.9999 +00.00000 4
129.9999 +05.00000 6
129.9999 +10.00000 8
129.9999 +15.00000 5
129.9999 +20.00000 4
129.9999 +25.00000 5
129.9999 +30.00000 4
129.9999 +35.00000 4
129.9999 +40.00000 4
129.9999 +45.00000 5
129.9999 +50.00000 7
129.9999 +55.00000 6
129.9999 +60.00000 13
129.9999 +65.00000 19
129.9999 +70.00000 18
